model,stage,subject,session_idx,date,n_trials,sim_stay_rew_com_mean,sim_stay_rew_com_lo,sim_stay_rew_com_hi,exp_stay_rew_com,sim_stay_rew_rare_mean,sim_stay_rew_rare_lo,sim_stay_rew_rare_hi,exp_stay_rew_rare,sim_stay_unrew_com_mean,sim_stay_unrew_com_lo,sim_stay_unrew_com_hi,exp_stay_unrew_com,sim_stay_unrew_rare_mean,sim_stay_unrew_rare_lo,sim_stay_unrew_rare_hi,exp_stay_unrew_rare,sim_ttc_mean,sim_ttc_lo,sim_ttc_hi,sim_ttc_n,exp_ttc_mean,exp_ttc_n
rac_p,4.7,WT4,1,2020-03-23 09:08:59,254,0.6794185726433615,0.5418333333333334,0.8129411764705882,0.5849056603773585,0.5976360440385208,0.27889610389610386,0.8947222222222221,0.5833333333333334,0.5713246864003524,0.4165201361315939,0.7203506097560973,0.5636363636363636,0.653905347017963,0.35802139037433156,0.9634615384615378,0.6923076923076923,31.220588235294116,8.675,56.325,68,,0
rac_p,4.7,WT4,2,2020-03-24 09:27:54,333,0.6481071024525947,0.5431029929577464,0.7718362687540768,0.5454545454545454,0.6170666363780847,0.3099759615384616,0.8400641025641025,0.2,0.568714477182779,0.4551804812834224,0.6818840579710143,0.6962025316455697,0.6492793495458491,0.3625,0.8636764705882346,0.5,47.305263157894736,8.35,108.59999999999997,95,123.0,1
rac_p,4.7,WT4,3,2020-03-25 09:18:00,379,0.6568141223854805,0.5565091049980628,0.7744791666666666,0.6136363636363636,0.6019590596304083,0.36363636363636365,0.8136956521739128,0.6666666666666666,0.5540223981848599,0.44691733639494835,0.6496743731683491,0.6153846153846154,0.6403918949905046,0.4442307692307692,0.8307416267942581,0.5789473684210527,31.573099415204677,8.0,65.0,171,60.5,2
rac_p,4.7,WT4,4,2020-03-26 09:24:39,259,0.702808244847659,0.5529509283819629,0.8098358208955223,0.66,0.6030280434220062,0.36363636363636365,0.9047727272727272,0.5294117647058824,0.547255580861308,0.4117239467849224,0.7006729810568295,0.5925925925925926,0.67948492941527,0.3333333333333333,0.9130681818181817,0.75,42.57575757575758,8.0,94.55,99,104.0,1
rac_p,4.7,WT4,5,2020-03-27 09:30:39,347,0.639565801931298,0.5171968283582089,0.7519823479966375,0.6276595744680851,0.5836421428176662,0.37782738095238094,0.7949999999999999,0.5185185185185185,0.5481570259658493,0.42187361908970394,0.6937158469945354,0.6037735849056604,0.6098038208045291,0.37372222222222223,0.8286764705882352,0.5,20.17105263157895,7.75,36.125,76,27.0,1
rac_p,4.7,WT4,6,2020-03-28 09:25:59,400,0.6707215091476121,0.5619991594284114,0.772706014681506,0.6907216494845361,0.5869513443425791,0.3690340909090909,0.855208333333333,0.48148148148148145,0.5783023552438513,0.475,0.6949372056514912,0.5866666666666667,0.6448150643663356,0.42232142857142857,0.8077777777777776,0.5555555555555556,36.9451476793249,7.800000000000001,85.19999999999999,237,57.333333333333336,3
rac_p,4.7,WT4,7,2020-03-30 09:26:19,371,0.6790401265632436,0.5822270322270322,0.7954637841832963,0.7407407407407407,0.6030789866046451,0.41,0.8198863636363636,0.375,0.5691051701408042,0.4453080836630865,0.6758356164383561,0.5769230769230769,0.6672205885068552,0.5,0.8400641025641025,0.625,30.93076923076923,6.0,55.0,130,12.0,1
rac_p,4.7,WT5,0,2020-03-25 11:07:28,329,0.6271004303769248,0.5218433544303798,0.7380616509926854,0.6623376623376623,0.5756147024510465,0.28568181818181815,0.8242307692307689,0.5882352941176471,0.5150852543419516,0.39774542779062433,0.6404083204930662,0.5714285714285714,0.6063461243417237,0.3847222222222222,0.8481730769230769,0.6,31.87741935483871,7.7,81.60000000000002,155,39.0,3
rac_p,4.7,WT5,1,2020-03-26 11:01:42,266,0.6688304788874094,0.523,0.7942424242424242,0.7352941176470589,0.6067166890556983,0.3333333333333333,0.8286764705882352,0.5833333333333334,0.5473771902684459,0.41559959349593495,0.6605542452830189,0.5686274509803921,0.6429153399781445,0.40431818181818185,0.8458333333333331,0.5,30.160493827160494,6.0,56.0,81,,0
rac_p,4.7,WT5,2,2020-03-27 11:05:55,359,0.7426435790834276,0.6367058990357346,0.8367121129076458,0.7857142857142857,0.6368109623016341,0.39999999999999997,0.8261363636363636,0.6470588235294118,0.6047252689441596,0.47019163150492266,0.707713188559322,0.5211267605633803,0.725342855606875,0.5095000000000001,0.9236956521739128,0.6190476190476191,27.1931330472103,7.600000000000001,62.39999999999998,233,49.0,3
rac_p,4.7,WT5,3,2020-03-28 11:04:07,347,0.7339216356967649,0.6181436567164179,0.8411246612466122,0.797752808988764,0.6541943183724571,0.45454545454545453,0.9087499999999998,0.4,0.6106949222070494,0.47205882352941175,0.7310014204545454,0.5686274509803921,0.7043777145056509,0.5,0.9191176470588232,0.391304347826087,35.5625,8.0,88.0,96,29.0,1
rac_p,4.7,WT5,4,2020-03-30 11:18:27,234,0.8118076749532638,0.6823511904761905,0.9179666442048516,0.8043478260869565,0.7000788838354627,0.4444444444444444,0.966071428571428,0.7777777777777778,0.6605838751852802,0.5108628841607564,0.825042553191489,0.711864406779661,0.7957023161736784,0.5586229946524064,1.0,0.5,32.12299465240642,10.0,66.0,187,55.0,2
rac_p,4.7,WT6,0,2020-03-23 13:01:34,283,0.8029168348839513,0.6843137254901961,0.88578431372549,0.7457627118644068,0.7376496436028339,0.5,0.9749999999999995,0.7058823529411765,0.7038151696204098,0.6093957258658806,0.8098958333333333,0.703125,0.787300804888266,0.5541208791208792,1.0,0.5333333333333333,35.88947368421053,6.0,70.55000000000001,190,59.5,2
rac_p,4.7,WT6,1,2020-03-24 13:16:58,357,0.7041643806404727,0.6050528455284553,0.7910594578839988,0.7261904761904762,0.6320561855697135,0.4197478991596638,0.8125,0.5333333333333333,0.6347886710999598,0.528122032288699,0.7406971153846154,0.589041095890411,0.6683162919978072,0.5,0.8822916666666665,0.6521739130434783,25.773399014778324,6.0,69.94999999999999,203,35.0,3
rac_p,4.7,WT6,2,2020-03-25 13:00:23,362,0.8127965524969644,0.6801136363636363,0.894294425087108,0.8137254901960784,0.7558246039462675,0.5125,0.9310714285714285,0.6521739130434783,0.7185994203843381,0.6082566168009206,0.8023577235772357,0.640625,0.7891102931946382,0.625,0.9444444444444444,0.5454545454545454,23.22047244094488,6.0,48.849999999999994,127,26.5,2
rac_p,4.7,WT6,3,2020-03-26 13:00:01,387,0.7789979910375124,0.6553571428571429,0.8729044117647059,0.8192771084337349,0.6832602684147561,0.44852941176470584,0.8710416666666666,0.5263157894736842,0.674617272768062,0.5589556277056277,0.7667007649884362,0.7093023255813954,0.7657064556487423,0.5794117647058823,0.9507850241545893,0.5,26.304347826086957,6.0,73.275,230,15.5,2
rac_p,4.7,WT6,4,2020-03-27 13:04:11,372,0.8624240622426528,0.7926925770308123,0.9378571428571428,0.898989898989899,0.7787633219452121,0.585,1.0,0.75,0.7605222051210173,0.649286600496278,0.8539373814041745,0.6,0.8343154584231813,0.675,1.0,0.5,19.42396313364055,6.0,42.0,217,24.333333333333332,3
rac_p,4.7,WT6,5,2020-03-28 12:56:13,234,0.8798715996697669,0.7523297872340425,0.974000677506775,0.9298245614035088,0.8275379736119909,0.6073076923076923,1.0,0.7777777777777778,0.7864778173912188,0.6626893939393939,0.8904999999999998,0.717391304347826,0.8521995107146033,0.6507575757575758,1.0,0.6153846153846154,24.030864197530864,6.050000000000001,57.94999999999999,162,24.5,2
rac_p,4.7,WT6,6,2020-03-30 13:17:51,376,0.8472924828950255,0.7559967141292443,0.9318552036199095,0.8928571428571429,0.7684393695980114,0.5806818181818182,0.9749999999999995,0.5454545454545454,0.7307575400215814,0.5981011000523835,0.8266406249999999,0.6756756756756757,0.8125623085497863,0.6590579710144927,1.0,0.7272727272727273,23.229885057471265,6.0,66.0,261,25.333333333333332,3
