subject,session_idx,date,stage,model,WBIC,n_trials,alpha,forget,Wmb,P
WT4,0,2020-03-14 16:00:01,4.6,mb_p,66.75442280712156,123,0.3533614724741035,0.5579054003017905,2.787941295691874,0.04181430015147511
WT4,1,2020-03-16 09:31:49,4.6,mb_p,72.94812673487867,131,0.33603197580057687,0.580738213172202,2.385489638449269,-0.5310932569440977
WT4,2,2020-03-17 09:32:52,4.6,mb_p,96.77197219920677,184,0.2711631672061387,0.5286180706282523,2.9324551174821343,0.3390080516218485
WT4,3,2020-03-18 09:06:51,4.6,mb_p,95.10874043919223,179,0.2584530963015267,0.5999644233575339,2.1841308926694882,1.028604484434691
WT4,4,2020-03-19 09:01:39,4.6,mb_p,147.0222672616756,281,0.2739753693792788,0.5179481826853931,2.8712293911362097,0.3916596504425218
WT4,5,2020-03-20 09:29:03,4.6,mb_p,169.1250814318708,321,0.2884038851283905,0.4819195272426825,2.3813943904447443,0.502176473254579
WT5,0,2020-03-14 17:00:26,4.6,mb_p,64.57576492725752,121,0.33691803742466275,0.5623139538144751,2.631284948601314,-1.1080733273910823
WT5,1,2020-03-16 11:08:06,4.6,mb_p,70.61038303111206,146,0.2527345813494946,0.5707674004095203,2.5030747265880495,1.836551210118642
WT5,2,2020-03-17 11:10:20,4.6,mb_p,97.93197878820388,179,0.2909184117416908,0.5213515881993247,2.454969143633118,0.02089480958975794
WT5,3,2020-03-18 11:05:06,4.6,mb_p,34.24625417824563,70,0.3368342225966731,0.5698230343432117,2.8764790832167466,1.8534442843745051
WT5,4,2020-03-19 11:05:09,4.6,mb_p,97.36822244234503,178,0.23012048136990054,0.58997857998613,2.326988627640308,0.6276633608139509
WT5,5,2020-03-20 11:21:48,4.6,mb_p,117.29177863054846,224,0.2754433096977369,0.5321970950812497,2.6590031858265792,0.5809868904365625
WT5,6,2020-03-21 11:17:38,4.6,mb_p,97.98128897483744,182,0.312425320597747,0.5058544863478525,2.7747735971226635,-0.3632595492726985
WT5,7,2020-03-23 10:56:03,4.6,mb_p,77.00343739743843,146,0.2620439548514194,0.5462447574550734,3.479507962056996,-0.07693709762601755
WT5,8,2020-03-24 11:17:48,4.6,mb_p,153.05131376794438,289,0.3692847079674987,0.4871100379258863,2.4267283083535256,-0.16777193913370286
WT6,0,2020-03-20 13:00:34,4.6,mb_p,118.56045783534132,227,0.3171172870008824,0.5498036749444828,2.592198316615511,0.588818507481979
WT6,1,2020-03-21 12:53:00,4.6,mb_p,135.4282718297773,301,0.3343641005667987,0.472949562641301,3.0688302178545324,1.3563239662574842
