subject,session_idx,date,stage,model,WBIC,n_trials,alpha,forget,Wmb,P
WT3,1,2020-01-03 13:00:02,4.8,mb_p,187.325144919371,372,0.3379329349694626,0.5777713613456348,3.325106116733708,0.2564962536782177
WT3,2,2020-01-04 13:00:01,4.8,mb_p,152.67269213273312,357,0.41445106043708346,0.5503249920742882,4.104347449764771,0.9098737719924264
WT3,3,2020-01-07 13:00:09,4.8,mb_p,183.18072327908888,390,0.3039236643619436,0.4965839349546319,3.787877536174329,0.5958901366877939
WT3,4,2020-01-08 14:07:07,4.8,mb_p,190.35983348368825,404,0.305595152892081,0.5246348466464112,3.855115544445269,0.8108444826771668
WT3,5,2020-01-09 13:08:29,4.8,mb_p,164.48459161705767,380,0.35311288752919157,0.4210713108985556,3.6191003779982474,1.1585919623228278
WT3,6,2020-01-10 13:10:02,4.8,mb_p,160.02863142481837,367,0.3572724839037544,0.5334879067530116,4.5189577066874875,0.7828235459978183
WT3,7,2020-01-11 13:00:00,4.8,mb_p,150.42772382626097,368,0.3331473635862468,0.4602230464482476,4.816127228542183,0.7328348961647143
WT3,8,2020-01-13 13:00:15,4.8,mb_p,159.33030725243427,330,0.35707833647101794,0.6169039181308963,3.403102729044985,0.1631038027389209
WT3,9,2020-01-14 13:08:00,4.8,mb_p,165.4773672720974,360,0.35722496252611396,0.5112421976628454,3.942181029028005,0.8850225142177803
WT3,10,2020-01-15 12:43:34,4.8,mb_p,159.4168655822358,381,0.4186393020303706,0.5774144473783079,4.131560852736223,1.0993079854446166
WT3,11,2020-01-16 12:45:33,4.8,mb_p,154.6807869836678,412,0.38078896469992,0.5020850721662656,4.546275369827118,1.260296938056714
WT3,12,2020-01-17 12:56:59,4.8,mb_p,172.7106226310566,414,0.36320470752641965,0.4595050740064254,4.03517436095371,1.1014282120155885
WT3,13,2020-01-18 12:57:33,4.8,mb_p,167.56635741365494,386,0.3458837719033629,0.5163825811811951,4.693309489585492,0.6736536489009688
WT4,0,2020-03-31 09:17:00,4.8,mb_p,179.52936135549757,370,0.37513092844606594,0.42701918400703115,2.941909928140816,0.6303852196113419
WT4,1,2020-04-01 09:06:23,4.8,mb_p,212.82495589759566,441,0.3786118825207728,0.615572003701607,3.2701068644925795,0.5621796260522831
WT4,2,2020-04-02 09:36:56,4.8,mb_p,207.22258187413874,468,0.4341562337698492,0.5111514372520761,3.272703973198415,1.0223377687845239
WT4,3,2020-04-03 09:10:40,4.8,mb_p,187.7181687740208,481,0.39222253259062007,0.41283574744119045,5.218419052001662,0.4867010489731315
WT4,4,2020-04-04 09:21:12,4.8,mb_p,199.2689121674787,463,0.3462209118058465,0.44987913159156806,4.610868377971352,0.9069197602126637
WT4,5,2020-04-06 09:20:56,4.8,mb_p,172.2741130551367,426,0.35289644333337783,0.41937706190396473,4.504715048465106,1.066793662486128
WT4,6,2020-04-07 09:08:29,4.8,mb_p,154.6426694278869,446,0.26647726868363303,0.3794837147793714,6.385144771277218,1.322067888694462
WT4,7,2020-04-08 09:10:22,4.8,mb_p,181.6116205122048,419,0.2858251552346968,0.36343651873475513,4.082411857166456,1.1683383007521444
WT4,8,2020-04-10 09:06:58,4.8,mb_p,138.84441240850168,361,0.3674775176744429,0.5438210780036774,5.591765573399761,0.6553279175492669
WT4,9,2020-04-11 09:09:52,4.8,mb_p,175.36786343861795,468,0.3829955688585904,0.5010770487333117,5.791620374717362,0.8255448596360851
WT4,10,2020-04-13 09:07:22,4.8,mb_p,138.90336229123247,346,0.37074908821532754,0.5864268753432713,5.823470490770476,0.237053232131842
WT4,11,2020-04-14 09:10:43,4.8,mb_p,155.45756115061582,472,0.3615792221470519,0.35103579446133176,5.927128071336308,1.013276631722196
WT4,12,2020-04-15 08:58:47,4.8,mb_p,172.60837070688407,469,0.3364334583854402,0.3620945124109716,5.831720551190921,0.7084942215012586
WT4,13,2020-04-16 09:00:43,4.8,mb_p,185.48920367835692,482,0.35534383127426816,0.3512623581938594,5.241435915559914,0.9734925227972391
WT4,14,2020-04-17 09:20:26,4.8,mb_p,158.55944897652319,437,0.36054357502933804,0.44035566040077667,5.9731771745470015,0.7980378784676069
WT5,0,2020-03-31 10:54:09,4.8,mb_p,152.05783295368667,324,0.40425850121881246,0.45837225969351353,3.310870226171016,0.5888443614597341
WT5,1,2020-04-01 10:50:07,4.8,mb_p,133.30980936582182,294,0.4220803945948855,0.5790913772648494,3.2781974451278257,1.1067548879407076
WT5,2,2020-04-02 11:13:52,4.8,mb_p,184.95710550640536,393,0.41266945240894043,0.4729319102556636,3.505100406570163,0.5851302112960608
WT5,3,2020-04-03 11:00:55,4.8,mb_p,138.9783318437273,319,0.5272975141785801,0.5471631732514819,3.347431958384407,0.9491267201824427
WT5,4,2020-04-04 11:00:06,4.8,mb_p,163.72536139428507,362,0.4073789942456043,0.5557186580519268,3.410684094244537,1.0172238384001915
WT5,5,2020-04-06 11:00:00,4.8,mb_p,155.1526226528656,354,0.4075128296849399,0.47956882652919386,3.8038845859284547,1.006333943034182
WT5,6,2020-04-07 10:58:14,4.8,mb_p,169.56393870340267,382,0.39782881330139946,0.5295122005927392,3.3715234738789714,1.0036149035954622
WT5,7,2020-04-08 11:00:01,4.8,mb_p,172.81579211022157,403,0.42565060520478587,0.48730824438359677,2.9980275315065916,1.4323027137283222
WT5,8,2020-04-09 11:02:54,4.8,mb_p,152.45074524395116,375,0.357880985787059,0.41939705970576435,4.711904785748465,0.8826073507352549
WT5,9,2020-04-10 11:00:11,4.8,mb_p,167.187581044018,405,0.4397966571194636,0.49938367656472454,3.731828980762763,1.2174837840478518
WT5,10,2020-04-11 11:06:05,4.8,mb_p,166.52021966926716,398,0.44192888939687813,0.5121476325184577,4.19303014333853,0.8148304870773101
WT5,11,2020-04-13 11:00:00,4.8,mb_p,174.12193031214338,351,0.36734240888686337,0.5358768413018552,2.776376067732212,0.7437253172656538
WT5,12,2020-04-14 11:07:08,4.8,mb_p,170.89860881116067,387,0.3785745996676822,0.44949528518524184,4.394477318920262,0.4740091805227649
WT5,13,2020-04-15 11:00:01,4.8,mb_p,181.68563766964377,424,0.4160394361767474,0.5258682348447372,4.1409700456716045,0.8857403110855885
WT5,14,2020-04-16 11:02:50,4.8,mb_p,181.04231775959516,431,0.4597210744133434,0.5676170591270375,3.8559481776355122,0.8243477506077627
WT5,15,2020-04-17 10:57:03,4.8,mb_p,93.74045043690467,232,0.5565359636874566,0.4576776109469958,4.003157833198338,1.0188470215215424
WT6,0,2020-03-31 13:10:13,4.8,mb_p,144.3487498144791,391,0.4153364418518927,0.4621164053649048,3.7036282567784813,1.9021569264936855
WT6,1,2020-04-01 13:00:46,4.8,mb_p,144.47275335513197,390,0.38594613207418693,0.549424892070915,3.854810122262559,1.806393670581366
WT6,2,2020-04-02 12:55:01,4.8,mb_p,124.41109657127917,397,0.3997152355102786,0.43113111555859457,4.799262580261539,2.286753970019262
WT6,3,2020-04-03 13:09:48,4.8,mb_p,128.41862753199717,393,0.4253977425691295,0.56124051866626,4.678821427944043,2.036727285696301
WT6,4,2020-04-04 13:08:37,4.8,mb_p,147.78365084992902,427,0.413737795494496,0.6233309125752414,4.3683140665758975,2.081327533301217
WT6,5,2020-04-06 13:17:03,4.8,mb_p,163.20403180618084,398,0.4169091882299632,0.4932922265117111,3.9434082322424167,1.0628771537901065
WT6,6,2020-04-07 13:18:33,4.8,mb_p,145.31227138312804,407,0.3623503605252321,0.49957188054030155,5.0694285048355106,1.799335574885974
WT6,7,2020-04-08 13:08:31,4.8,mb_p,141.26831537511433,433,0.38751416297334534,0.5245465935591866,4.788301816359572,2.1785350108294446
WT6,8,2020-04-09 13:05:38,4.8,mb_p,146.2201304180263,421,0.4710848189232578,0.4147859634107274,4.082908756876287,1.9471087770405244
WT6,9,2020-04-10 13:03:43,4.8,mb_p,161.4306643326543,419,0.31266265605352794,0.46745940987661855,4.088048170347532,1.889056732409027
WT6,10,2020-04-11 13:06:45,4.8,mb_p,157.49805864696452,403,0.3692557169397133,0.43506666309967035,4.854580501982322,0.9380333515925072
WT6,11,2020-04-13 13:13:41,4.8,mb_p,117.30559156648553,315,0.4121355841159757,0.5414037657082433,4.413254810529397,1.4457893685747323
WT6,12,2020-04-14 13:08:47,4.8,mb_p,130.8283888445271,413,0.3732734162584528,0.3269167378394901,5.262113819080515,1.6615976708683828
WT6,13,2020-04-15 13:07:31,4.8,mb_p,145.74893945334534,391,0.3380065007076187,0.417399861857389,4.759013963922018,1.3455800387905188
WT6,14,2020-04-16 13:28:36,4.8,mb_p,111.07821254438308,286,0.34333260436783003,0.3951499460766365,4.8985255288764735,1.1724487388717157
WT6,15,2020-04-17 13:37:22,4.8,mb_p,155.0223626953356,418,0.41762593528920683,0.40748636701703617,4.140225477079227,1.8038489668825368
