subject,session_idx,date,stage,model,WBIC,n_trials,alpha,forget,lambda,Wmf,Wmb,P
WT2,10,2020-01-11 11:00:07,4.8,hyb_p,180.07576966377033,462,0.3409749536330168,0.6167073269147847,0.38288099106948165,2.755069266098082,5.410839553801647,0.3456134687469194
WT2,11,2020-01-13 11:04:47,4.8,hyb_p,178.96441539053274,417,0.5109693267152301,0.6776397275333844,0.4634512811749192,1.8900162919989707,3.718111992273387,-0.12927208125915643
WT2,12,2020-01-14 11:00:03,4.8,hyb_p,178.5825861988651,473,0.29577872291097024,0.403283455299336,0.4778121872483431,3.1779319541536304,4.649957653493495,-0.05047571771933664
WT2,13,2020-01-15 10:51:12,4.8,hyb_p,197.72945367044477,468,0.27001604413987046,0.5198356070788787,0.46150746275318294,3.1532636770593876,4.282147387506301,0.05791687153464953
WT2,14,2020-01-16 10:48:53,4.8,hyb_p,185.89540360615393,459,0.3556414986234734,0.6249905658503192,0.4563815470581618,2.5607839811712383,4.536825116893827,0.21269206634497342
WT2,15,2020-01-17 11:07:02,4.8,hyb_p,178.0915797690662,491,0.3237994523217438,0.5863193827950541,0.4713547549910774,2.961273862724925,4.880976415079697,0.611992868062344
WT2,16,2020-01-18 11:00:01,4.8,hyb_p,149.64932812591096,406,0.4349406530161026,0.6059051476139049,0.4437622562329317,2.2164358790691496,5.272922372273186,0.21691100353470283
WT3,0,2020-01-02 13:00:09,4.8,hyb_p,162.65096338906625,353,0.2157024441420853,0.505861976807311,0.4570577541733166,3.5326893317019024,3.7200977836561075,0.37073764274149895
WT3,1,2020-01-03 13:00:02,4.8,hyb_p,187.29247725780434,372,0.17086244019575506,0.5848133055181508,0.4541863803166052,3.466278452985387,3.7296467691552295,0.04180839661523426
WT3,2,2020-01-04 13:00:01,4.8,hyb_p,153.77665215729124,357,0.29106464940115884,0.5675914167231892,0.46054695221554304,2.981393683003112,3.971887309528687,0.4339149608465339
WT3,3,2020-01-07 13:00:09,4.8,hyb_p,180.11364310891372,390,0.2105064480185393,0.5487534903273206,0.4502622015453679,3.6620489918922874,3.667722704632466,0.13056261199388036
WT3,4,2020-01-08 14:07:07,4.8,hyb_p,185.477099554445,404,0.19518149319636047,0.5272753994249613,0.4908009057175246,4.073641617374857,3.6981027175734966,0.37518659325266424
WT3,5,2020-01-09 13:08:29,4.8,hyb_p,164.9053847108686,380,0.23203611818593206,0.51000336186007,0.4305742906916664,3.2276530899963687,3.58166041850691,0.8159593528113191
WT3,6,2020-01-10 13:10:02,4.8,hyb_p,157.9490229397047,367,0.23797206927177741,0.5820377458135376,0.4362894436585065,3.7952351276973535,4.191274221010553,0.4164222268677676
WT3,7,2020-01-11 13:00:00,4.8,hyb_p,150.72207403848597,368,0.2559931200026988,0.5040282568857227,0.43674819904646867,3.1348739392124667,4.2450286359084695,0.3447239396933026
WT3,8,2020-01-13 13:00:15,4.8,hyb_p,160.3056517433312,330,0.27768943185344713,0.6385580393255944,0.4508614705812575,2.7765718343411803,3.2575878187938447,-0.23421563977489765
WT3,9,2020-01-14 13:08:00,4.8,hyb_p,166.78630303346497,360,0.21743156761729437,0.5483731849303957,0.4167764823419689,3.176337037213011,4.352417505252696,0.5606692916179631
WT3,10,2020-01-15 12:43:34,4.8,hyb_p,160.19370138323217,381,0.28024717308326963,0.6217289340012542,0.42276222068913516,3.091927447281356,4.125859089100596,0.7416901270200664
WT3,11,2020-01-16 12:45:33,4.8,hyb_p,154.665756036204,412,0.3158829555587832,0.5546255232278712,0.44870884399443195,2.9350546968330615,3.996105825696778,0.7262162456369038
WT3,12,2020-01-17 12:56:59,4.8,hyb_p,172.1078951281447,414,0.22653217423140132,0.5138218765583843,0.4721735601840413,3.33033547263355,4.042963476830615,0.670468616248962
WT3,13,2020-01-18 12:57:33,4.8,hyb_p,167.80707894113493,386,0.27009641307168514,0.5404890575669733,0.4014731427023379,3.13108851213954,4.319998735898999,0.36712618748225956
WT4,0,2020-03-31 09:17:00,4.8,hyb_p,179.1344994703437,370,0.20790003221604547,0.4818951014292973,0.4650492766619117,3.213550091435137,3.1002503024922317,0.30240272261156503
WT4,1,2020-04-01 09:06:23,4.8,hyb_p,213.5144119245886,441,0.23494739026236489,0.676148670179759,0.442957601729421,3.080952308045134,3.6261344901917925,0.24697241066001388
WT4,2,2020-04-02 09:36:56,4.8,hyb_p,211.50486931294864,468,0.30852778253730967,0.5371169605837437,0.43854369774464347,2.234728016658816,3.341420316987268,0.746205004720816
WT4,3,2020-04-03 09:10:40,4.8,hyb_p,188.76894782055277,481,0.3593011348726187,0.4859447023359968,0.47924534308623123,2.7305856343078836,4.3602358746035526,-0.07528094621644375
WT4,4,2020-04-04 09:21:12,4.8,hyb_p,195.6547014016958,463,0.26267387150546234,0.518753874234218,0.5138284119278923,3.6071266540032663,3.9738034658366694,0.42877647280963266
WT4,5,2020-04-06 09:20:56,4.8,hyb_p,162.37011978137102,426,0.27941365262860096,0.4558602376094078,0.5637391528348478,4.093470077328408,3.378655408265158,0.24387543670178766
WT4,6,2020-04-07 09:08:29,4.8,hyb_p,149.54268333239787,446,0.2398258799417956,0.4283296324814645,0.43560612269417404,4.300028941936566,4.6575132322260195,0.7930004345801127
WT4,7,2020-04-08 09:10:22,4.8,hyb_p,178.38867943035032,419,0.18949239813328644,0.4036257674547435,0.4802930507664817,3.741068352852602,3.6800171822068095,0.8057750527245229
WT4,8,2020-04-10 09:06:58,4.8,hyb_p,136.36778316959337,361,0.30303762871811796,0.5682320589264405,0.47211236223641245,3.499842279786503,4.585570373231793,0.1307334683026294
WT4,9,2020-04-11 09:09:52,4.8,hyb_p,174.81962693735596,468,0.32222096333646755,0.5579154862940502,0.4516236982870122,3.1274696818022316,5.257851616635297,0.31363158853537687
WT4,10,2020-04-13 09:07:22,4.8,hyb_p,137.04110660683352,346,0.3527471223436263,0.6649795840242885,0.43880536726288993,3.2186009698714177,4.963227262853427,-0.38293551683486676
WT4,11,2020-04-14 09:10:43,4.8,hyb_p,156.06130955316647,472,0.35800500627643217,0.4388742575707874,0.47196614489710637,3.059507560697062,4.555582506731793,0.4704040067736222
WT4,12,2020-04-15 08:58:47,4.8,hyb_p,171.71342788894648,469,0.31567356068056307,0.48487008927485037,0.4630349315639468,3.4416863534663054,4.552648293947508,0.13257664481607656
WT4,13,2020-04-16 09:00:43,4.8,hyb_p,185.47606674699696,482,0.3215072223545913,0.40706028371244685,0.451536041995358,2.918057000941841,4.251801538027487,0.5829666203934901
WT4,14,2020-04-17 09:20:26,4.8,hyb_p,158.1847238827925,437,0.33712648243099996,0.5020769973672634,0.4486524370739309,2.9896115054794903,5.1274512566205175,0.19996810755573136
WT5,0,2020-03-31 10:54:09,4.8,hyb_p,152.0527533471119,324,0.26807329368628885,0.5586849730334775,0.48179392267898186,3.208231233579898,3.2928963025945217,0.20598311747768006
WT5,1,2020-04-01 10:50:07,4.8,hyb_p,134.80043386391057,294,0.2793718312030349,0.6067134869509264,0.48971322196339423,2.9218686085752483,3.424077627586082,0.755460363075362
WT5,2,2020-04-02 11:13:52,4.8,hyb_p,182.76386473679426,393,0.3207431972475357,0.5476773173351757,0.4688750872166094,3.080401887330246,3.2397763890569493,0.014611114799627394
WT5,3,2020-04-03 11:00:55,4.8,hyb_p,138.2759621074893,319,0.40816565265093274,0.6418782395849811,0.5100438136380879,3.045603634687059,3.2069243993239964,0.3075266938811277
WT5,4,2020-04-04 11:00:06,4.8,hyb_p,162.2513750633612,362,0.27091326549567524,0.6124799498433691,0.43283508658020703,3.535090854576242,3.484831880028855,0.5213367813633684
WT5,5,2020-04-06 11:00:00,4.8,hyb_p,154.0017002729143,354,0.27578171195841367,0.47882554586362835,0.4952634491788678,3.1821771441815296,3.559679976736047,0.6012272011206783
WT5,6,2020-04-07 10:58:14,4.8,hyb_p,168.60850324921142,382,0.29197814062934024,0.5603113006810787,0.5212420811823575,3.0035566052598517,3.181451091903644,0.5269831980859804
WT5,7,2020-04-08 11:00:01,4.8,hyb_p,176.11656675415415,403,0.2850030908992996,0.5661109891394244,0.460830397554364,2.591738576008185,3.2722097112550506,1.1183215828647408
WT5,8,2020-04-09 11:02:54,4.8,hyb_p,150.08773966131974,375,0.28738258369314196,0.4490468290611482,0.48635100639989093,3.3976218581571347,3.7727306929766837,0.44136240013970696
WT5,9,2020-04-10 11:00:11,4.8,hyb_p,165.51890582042867,405,0.3405995997050876,0.5677839683315514,0.5324146734357749,3.02906705621249,3.3439328495169556,0.5616281171182521
WT5,10,2020-04-11 11:06:05,4.8,hyb_p,165.9520040231929,398,0.3480741019190048,0.5328534289811152,0.5087442747165664,2.951102160299693,3.70046795502031,0.32423993420390396
WT5,11,2020-04-13 11:00:00,4.8,hyb_p,173.85272353427683,351,0.20907238215904436,0.5882855253311178,0.477178490329764,3.4655835728726694,3.2336138133012633,0.39297808392191097
WT5,12,2020-04-14 11:07:08,4.8,hyb_p,170.09838776129425,387,0.27537339382263004,0.519070572956856,0.4842986044292304,3.270894316311872,3.883805783083898,0.05854565462797604
WT5,13,2020-04-15 11:00:01,4.8,hyb_p,179.42210275216564,424,0.34616939471298247,0.6027990766954846,0.4613710060555526,3.1157318496986597,3.729415110858112,0.2885714941448552
WT5,14,2020-04-16 11:02:50,4.8,hyb_p,184.76322002463468,431,0.3558507755224755,0.6335212451596882,0.434843404292806,2.335842552855436,3.8260800699332105,0.4425613075229731
WT5,15,2020-04-17 10:57:03,4.8,hyb_p,95.8834199518299,232,0.48558426997676674,0.5238198706746425,0.5448526403178082,2.4912298800259802,3.348371982980593,0.5973329567510748
WT6,0,2020-03-31 13:10:13,4.8,hyb_p,143.98652152825088,391,0.3502069403260361,0.5490604250244948,0.5047727659874229,2.8784281944156103,3.2151036162145887,1.279004368786754
WT6,1,2020-04-01 13:00:46,4.8,hyb_p,140.4704669115113,390,0.32403970806360477,0.6474986327423384,0.4925614839524486,3.7091587632918124,3.2467752232165683,1.1341603194178884
WT6,2,2020-04-02 12:55:01,4.8,hyb_p,119.70684765256274,397,0.4295565215929462,0.5240928430960421,0.5772450059325779,3.6102849466195717,3.6913124361269607,1.391547457545747
WT6,3,2020-04-03 13:09:48,4.8,hyb_p,120.03404783269009,393,0.44092335742741867,0.6539794902887378,0.5776308880527882,4.1546164101446275,3.6182226523943637,0.9419388337279477
WT6,4,2020-04-04 13:08:37,4.8,hyb_p,146.9583183000331,427,0.3894600292907871,0.6827563802446363,0.49811278405467846,3.1388070297352515,4.004227041189667,1.4698546289078684
WT6,5,2020-04-06 13:17:03,4.8,hyb_p,162.269841777178,398,0.3808007576480075,0.6150823500689114,0.5053186310046693,2.8915918119080017,3.2742690366353484,0.5022295404747671
WT6,6,2020-04-07 13:18:33,4.8,hyb_p,141.1519468404675,407,0.32499177071171553,0.5522306714654773,0.5044759701134002,3.9316754985372646,4.170787846160103,1.25501778893912
WT6,7,2020-04-08 13:08:31,4.8,hyb_p,137.40787825447606,433,0.3706547417196482,0.6516639501993978,0.48661916705233177,3.8075150065586882,3.931236847100716,1.3995529032887803
WT6,8,2020-04-09 13:05:38,4.8,hyb_p,147.3777540622374,421,0.4367832977072082,0.5260435865970904,0.5229471480049165,2.6575111327310483,3.5746584729749866,1.3369902364582338
WT6,9,2020-04-10 13:03:43,4.8,hyb_p,153.82366089826078,419,0.2779991053789885,0.5036394224997217,0.5046305995679986,4.106146333060849,3.3694775398818253,1.1131984642523283
WT6,10,2020-04-11 13:06:45,4.8,hyb_p,155.43950383206348,403,0.32025611624351324,0.4791632364496344,0.5049459876701534,3.1958971244257524,3.9360628368051445,0.4187607201517606
WT6,11,2020-04-13 13:13:41,4.8,hyb_p,112.98465138204355,315,0.3819050917635984,0.6281777423631845,0.46842589199192414,3.8982154313010335,3.5145979463551624,0.6450666685916093
WT6,12,2020-04-14 13:08:47,4.8,hyb_p,122.67459515803446,413,0.3120364787799442,0.4523829614233695,0.5489553588440357,4.499479755109221,3.7230152560842438,0.7661548574379811
WT6,13,2020-04-15 13:07:31,4.8,hyb_p,141.24128659460445,391,0.35914833029232407,0.49744255530971426,0.4224049393593979,3.6131355564343797,3.5388779439594575,0.5880331455181712
WT6,14,2020-04-16 13:28:36,4.8,hyb_p,106.91717770211719,286,0.3200080975568203,0.48975178385797247,0.5376138189721554,3.738982567902913,3.7442471285264145,0.3667467664380101
WT6,15,2020-04-17 13:37:22,4.8,hyb_p,149.1193798293047,418,0.32644138897130515,0.5231047995885321,0.5125566581364722,4.054834829980073,3.6726834980734897,1.059129424676049
