subject,session_idx,date,stage,model,WBIC,n_trials,alpha,forget,lambda,Wmf,Winf,P,p_r
WT3,11,2020-01-16 12:45:33,4.8,hyb_inf,155.24793796955566,412,0.33809658386007957,0.44841090938275135,0.4370053585189555,3.033849882325285,5.408191977692116,0.9404154998133312,0.2689658572557551
WT3,12,2020-01-17 12:56:59,4.8,hyb_inf,172.5769900074946,414,0.29180305141975355,0.4060700792399507,0.44866751023243523,3.210475001318608,4.674844662285245,0.843221653785475,0.3108790881054274
WT3,13,2020-01-18 12:57:33,4.8,hyb_inf,169.0982003810428,386,0.3402250139670855,0.41697021877609025,0.40390060489483354,2.9080914909237654,4.696107970176129,0.7405979401398646,0.29563542911713986
WT4,0,2020-03-31 09:17:00,4.8,hyb_inf,179.1658413821417,370,0.3307817616324326,0.3987204760058139,0.48441333680882553,2.6114291066750153,3.9459473501310636,0.6782715125940867,0.47732365448638736
WT4,1,2020-04-01 09:06:23,4.8,hyb_inf,216.0373085356551,441,0.35105453249113544,0.4928128198779816,0.44457406938122446,2.3543850809400384,4.251093628841435,0.6264119702662747,0.38061583991726244
WT4,2,2020-04-02 09:36:56,4.8,hyb_inf,210.7232722920586,468,0.35360151391151684,0.4313002262907727,0.45315265139767064,2.18139455140973,4.862923499667564,0.8680705166718917,0.2951494285968076
WT4,3,2020-04-03 09:10:40,4.8,hyb_inf,188.62025570806716,481,0.3178591148170868,0.38501409352808447,0.4898930126900756,2.7607653775887,6.0621243338419,0.5634425969911034,0.21143181934418093
WT4,4,2020-04-04 09:21:12,4.8,hyb_inf,195.72194084399194,463,0.3212842762374225,0.425779801666226,0.49838961451300295,3.2846087090340914,4.7217231921802565,0.6900672486826239,0.2991469946068988
WT4,5,2020-04-06 09:20:56,4.8,hyb_inf,160.61101025342862,426,0.2997531866022632,0.3363875512499349,0.5246175317354511,4.103884587408068,4.498518068570749,0.6717617927354353,0.3627535724952301
WT4,6,2020-04-07 09:08:29,4.8,hyb_inf,151.37822771697014,446,0.30186766100745516,0.3587050777590184,0.42124895653270494,4.257513992539252,4.682766995839183,0.9507730054752148,0.28451592488436905
WT4,7,2020-04-08 09:10:22,4.8,hyb_inf,179.1014428557632,419,0.29987621489516364,0.35013546417749847,0.47684075652405045,3.48021219265953,3.9648633936518256,0.878688751035302,0.38796977882529177
WT4,8,2020-04-10 09:06:58,4.8,hyb_inf,137.83013740705232,361,0.30704832952334304,0.394802564922124,0.45925672463633394,3.5844723405620806,5.5605454249258885,0.6487573184973442,0.28000384867735656
WT4,9,2020-04-11 09:09:52,4.8,hyb_inf,178.05903848963607,468,0.3116530287106795,0.40233548419339904,0.4806237902086422,3.0003328165270284,6.807497832554835,0.7151064032363262,0.21401234991971368
WT4,10,2020-04-13 09:07:22,4.8,hyb_inf,145.847943363914,346,0.3402570475264896,0.44403895170649915,0.49580846158216907,2.6146830510590378,5.770519264944053,0.5752724058288685,0.2581070997448569
WT4,11,2020-04-14 09:10:43,4.8,hyb_inf,157.56919429888978,472,0.3813834468821164,0.40035644748596383,0.5132501684311545,2.939795199394691,6.022604299049916,0.8098775237735523,0.18566247349482642
WT4,12,2020-04-15 08:58:47,4.8,hyb_inf,173.43992182646065,469,0.3197564458600793,0.4053582818350964,0.4846368779996761,3.192154246169177,5.573121255657371,0.6642667035498299,0.2154269967658642
WT4,13,2020-04-16 09:00:43,4.8,hyb_inf,187.49411450081297,482,0.32219201220654503,0.3750436548925414,0.48630993145617335,3.093133817683098,5.394123514526898,0.8003101889008936,0.23420574642747205
WT4,14,2020-04-17 09:20:26,4.8,hyb_inf,159.4050894544785,437,0.33902392703861983,0.37686044188998646,0.4644273715652718,2.9552345560632665,6.5202711423701665,0.7392277653060965,0.19456392860384986
WT5,0,2020-03-31 10:54:09,4.8,hyb_inf,152.21411325168359,324,0.3864552723417685,0.45778928815069,0.49056702546890696,2.617267465775725,4.104656584810177,0.6847593638025434,0.425635505857059
WT5,1,2020-04-01 10:50:07,4.8,hyb_inf,135.18300567335592,294,0.4036007453463895,0.46435915708444275,0.49819334113375996,2.468237934520227,4.369295721140489,0.9720664596074241,0.40283200303579836
WT5,2,2020-04-02 11:13:52,4.8,hyb_inf,184.02680041652079,393,0.3945332711996947,0.3850801373758477,0.4995575708978142,2.507459428429737,4.48038664675406,0.5717222644930883,0.33725755728224527
WT5,3,2020-04-03 11:00:55,4.8,hyb_inf,139.53361678165476,319,0.42335789148500763,0.4998614897109694,0.5190962187089494,2.684359688529053,4.809323852164276,0.8125415939087833,0.37651632668159724
