subject,session_idx,date,stage,model,WBIC,n_trials,alpha,forget,lambda,Wmf,P
WT4,0,2020-03-14 16:00:01,4.6,mf_p,66.56702455249207,123,0.3519746081712016,0.542593258495783,0.44115361488646637,2.9546958795392344,-0.14748764747609008
WT4,1,2020-03-16 09:31:49,4.6,mf_p,72.48564963845243,131,0.3033240811585265,0.5870340301561047,0.443301610024664,2.767154077041282,-0.6811690427244803
WT4,2,2020-03-17 09:32:52,4.6,mf_p,90.47262822351843,184,0.21870531437660404,0.3996975683449279,0.44346032045798056,4.279347228196955,-0.052844751994721856
WT4,3,2020-03-18 09:06:51,4.6,mf_p,91.92483376937804,179,0.23609511721639886,0.5407203511257344,0.4569038613239941,3.4931445960725385,0.750776232049616
WT4,4,2020-03-19 09:01:39,4.6,mf_p,143.97071657130147,281,0.26311437117555186,0.478573345803199,0.4256726079936292,3.5486291765870432,0.11305704693098935
WT4,5,2020-03-20 09:29:03,4.6,mf_p,164.95879299929683,321,0.26150316495114867,0.4684452420275806,0.44242695836484414,3.2103430403482447,0.198629494931762
WT5,0,2020-03-14 17:00:26,4.6,mf_p,65.01984758603494,121,0.2728995078786967,0.5539083232593452,0.4331476618653761,2.861451458979952,-1.157381648393328
WT5,1,2020-03-16 11:08:06,4.6,mf_p,63.56061880063959,146,0.24610651565108754,0.43641809210176413,0.4350422160297245,5.536896185352208,1.282480875479044
WT5,2,2020-03-17 11:10:20,4.6,mf_p,93.90797265081784,179,0.30721626573651,0.5830895351821295,0.45919270267571116,3.412769556475719,-0.393858531065453
WT5,3,2020-03-18 11:05:06,4.6,mf_p,33.29349529706563,70,0.3290322075095629,0.5437126410767794,0.4575772908046309,3.443158113373522,1.6840861534494524
WT5,4,2020-03-19 11:05:09,4.6,mf_p,95.1485331719639,178,0.24639348454157467,0.5521988248267464,0.43916544478356356,3.2585732655386366,0.4178927377812917
WT5,5,2020-03-20 11:21:48,4.6,mf_p,115.44946013307958,224,0.22731749133322682,0.454617670815779,0.4266159386686224,3.172539175536301,0.46558484323818444
WT5,6,2020-03-21 11:17:38,4.6,mf_p,96.70827235851218,182,0.24888479948643666,0.4476106714812555,0.427535846765431,3.3438581178748334,-0.4857421549791343
WT5,7,2020-03-23 10:56:03,4.6,mf_p,71.26120922540716,146,0.2481733239144286,0.46756109412655605,0.432163518715409,4.596268367772078,-0.3995253289412071
WT5,8,2020-03-24 11:17:48,4.6,mf_p,152.14771241460537,289,0.32210010902530023,0.4756393192454278,0.4910951870637798,2.8083652919662376,-0.38688741382723846
WT6,0,2020-03-20 13:00:34,4.6,mf_p,116.74715052040386,227,0.2621045629474364,0.4825008871066249,0.4601554609465862,3.2249072991868757,0.39841597340417695
WT6,1,2020-03-21 12:53:00,4.6,mf_p,133.9629513984331,301,0.2912109361716812,0.4282355918422008,0.45344917346522207,3.612835174763936,0.9831885772499181
