subject,stage,session_idx,date,trans_type,n_trials,stay_rew_com,stay_rew_rare,stay_unrew_com,stay_unrew_rare
WT3,4.8,6,2020-01-10 13:10:02,A,367,0.7674418604651163,0.2222222222222222,0.72,0.6296296296296297
WT3,4.8,7,2020-01-11 13:00:00,A,368,0.8679245283018868,0.375,0.6470588235294118,0.7647058823529411
WT3,4.8,8,2020-01-13 13:00:15,A,330,0.7529411764705882,0.375,0.6551724137931034,0.42105263157894735
WT3,4.8,9,2020-01-14 13:08:00,A,360,0.8059701492537313,0.2631578947368421,0.684931506849315,0.7142857142857143
WT3,4.8,10,2020-01-15 12:43:34,A,381,0.8829787234042553,0.4,0.6987951807228916,0.5882352941176471
WT3,4.8,11,2020-01-16 12:45:33,A,412,0.9009009009009009,0.45454545454545453,0.8285714285714286,0.6470588235294118
WT3,4.8,12,2020-01-17 12:56:59,A,414,0.8256880733944955,0.47058823529411764,0.7105263157894737,0.7391304347826086
WT3,4.8,13,2020-01-18 12:57:33,A,386,0.8369565217391305,0.4,0.6707317073170732,0.5454545454545454
WT4,4.8,0,2020-03-31 09:17:00,B,370,0.7472527472527473,0.6842105263157895,0.5428571428571428,0.7777777777777778
WT4,4.8,1,2020-04-01 09:06:23,B,441,0.7628865979381443,0.35,0.6458333333333334,0.5833333333333334
WT4,4.8,2,2020-04-02 09:36:56,B,468,0.7982456140350878,0.45454545454545453,0.7325581395348837,0.6428571428571429
WT4,4.8,3,2020-04-03 09:10:40,B,481,0.889763779527559,0.36363636363636365,0.5882352941176471,0.6333333333333333
WT4,4.8,4,2020-04-04 09:21:12,B,463,0.8888888888888888,0.5238095238095238,0.6304347826086957,0.6896551724137931
WT4,4.8,5,2020-04-06 09:20:56,B,426,0.8918918918918919,0.6,0.6617647058823529,0.6666666666666666
WT4,4.8,6,2020-04-07 09:08:29,B,446,0.8991596638655462,0.6470588235294118,0.725,0.6785714285714286
WT4,4.8,7,2020-04-08 09:10:22,B,419,0.8383838383838383,0.65,0.6744186046511628,0.6666666666666666
WT4,4.8,8,2020-04-10 09:06:58,B,361,0.8804347826086957,0.4117647058823529,0.6721311475409836,0.45454545454545453
WT4,4.8,9,2020-04-11 09:09:52,B,468,0.9158878504672897,0.34615384615384615,0.7037037037037037,0.6923076923076923
WT4,4.8,10,2020-04-13 09:07:22,B,346,0.8701298701298701,0.36363636363636365,0.6119402985074627,0.47368421052631576
WT4,4.8,11,2020-04-14 09:10:43,B,472,0.9206349206349206,0.6,0.6666666666666666,0.7027027027027027
WT4,4.8,12,2020-04-15 08:58:47,B,469,0.9173553719008265,0.6470588235294118,0.5975609756097561,0.7586206896551724
WT4,4.8,13,2020-04-16 09:00:43,B,482,0.9196428571428571,0.4375,0.6555555555555556,0.7
WT4,4.8,14,2020-04-17 09:20:26,B,437,0.9035087719298246,0.3333333333333333,0.7162162162162162,0.6666666666666666
WT5,4.8,0,2020-03-31 10:54:09,A,324,0.7439024390243902,0.5454545454545454,0.6612903225806451,0.7368421052631579
WT5,4.8,1,2020-04-01 10:50:07,A,294,0.796875,0.6,0.6666666666666666,0.4117647058823529
WT5,4.8,2,2020-04-02 11:13:52,A,393,0.8160919540229885,0.5416666666666666,0.5512820512820513,0.6923076923076923
